date,next_date,tenor,regime,forecast_p10,forecast_p50,forecast_p90,realized,rmse,mae,crps,pit,in_band
2021-11-18,2021-11-19,USGG5YR Index,2,1.1935452852694977,1.2258273058373146,1.256885884941666,1.2214,0.003999981422825538,0.003999981422825538,0.004901490359461509,0.418,True
2021-11-18,2021-11-19,USGG7YR Index,2,1.4372224727589062,1.4674240212271514,1.4966781409841818,1.451,0.016080984054176017,0.016080984054176017,0.009012847532965725,0.195,True
2021-11-18,2021-11-19,USGG10YR Index,2,1.7371981338655946,1.7650473030872496,1.7921527375867634,1.5462,0.2185607578058426,0.2185607578058426,0.20879509571158758,0.0,False
2021-11-18,2021-11-19,USGG30YR Index,2,2.549389670934895,2.5659809942639082,2.5823779813574164,1.91,0.6561280044535118,0.6561280044535118,0.6517794574298525,0.0,False
2021-11-19,2021-11-22,USGG2YR Index,2,0.7410105084124775,0.7770925402822929,0.8149627442993301,0.5842,0.19422538355188412,0.19422538355188412,0.1821792502725485,0.0,False
2021-11-19,2021-11-22,USGG3YR Index,2,0.9003760216610622,0.9352081049882768,0.9719942489920939,0.9393,0.002857588694648805,0.002857588694648805,0.00503625137789677,0.58,True
2021-11-19,2021-11-22,USGG5YR Index,2,1.1845733853066576,1.2175952568320145,1.2522534840410064,1.3168,0.09820448456123931,0.09820448456123931,0.08590701132079405,1.0,False
2021-11-19,2021-11-22,USGG7YR Index,2,1.4280254649373043,1.459254869032925,1.4920018802856443,1.549,0.0886768416488164,0.0886768416488164,0.07775782314745223,1.0,False
2021-11-19,2021-11-22,USGG10YR Index,2,1.728004432448037,1.7572480771694616,1.7874097618214857,1.6236,0.13449316386805998,0.13449316386805998,0.12442864682322631,0.0,False
2021-11-19,2021-11-22,USGG30YR Index,2,2.542642484178473,2.5598346435128683,2.578215567949679,1.9615,0.5988072096873029,0.5988072096873029,0.5930138301629104,0.0,False
2021-11-22,2021-11-23,USGG2YR Index,2,0.7957089377366342,0.8321010281059156,0.8680389165174399,0.6142,0.217421539847775,0.217421539847775,0.20467837444381506,0.0,False
2021-11-22,2021-11-23,USGG3YR Index,2,0.9529415205829254,0.9884556125651742,1.0233063917941663,0.9422,0.04566606358991587,0.04566606358991587,0.03227443621380728,0.019,False
2021-11-22,2021-11-23,USGG5YR Index,2,1.233868422571333,1.267158748961362,1.3002388462606802,1.3391,0.07241657026938597,0.07241657026938597,0.05979660980542353,0.999,False
2021-11-22,2021-11-23,USGG7YR Index,2,1.4741392718352446,1.505548563553405,1.5369460826484131,1.5755,0.07016613817668982,0.07016613817668982,0.05845078290233945,0.999,False
2021-11-22,2021-11-23,USGG10YR Index,2,1.7700145819379216,1.7989816978132716,1.82817588775916,1.6651,0.13382397697826165,0.13382397697826165,0.1237072326344858,0.0,False
2021-11-22,2021-11-23,USGG30YR Index,2,2.565327946422564,2.5825226028946986,2.601090737820228,2.0229,0.5598078174590189,0.5598078174590189,0.5531205537655555,0.0,False
2021-11-23,2021-11-24,USGG2YR Index,2,0.8186816157394111,0.8561481926737269,0.8934719643900503,0.6398,0.21639250739202853,0.21639250739202853,0.20410164392201166,0.0,False
